구분,년도,단계,승리팀,승리팀_포메이션,승득,승수비,승미드,승공격,패배팀,패배팀_포메이션,패득,승수비,승미드,승공격
승,2018,32,Russia,4231,5,4,5,1,Saudi Arabia,4141,0,4,5,1
승,2018,32,Uruguay,442,1,4,4,2,Egypt,4231,0,4,5,1
승,2018,32,Iran,343,1,3,4,3,Morocco,343,0,3,4,3
승,2018,32,France,433,2,4,3,3,Australia,4231,1,4,5,1
승,2018,32,Denmark,433,1,4,3,3,Peru,4231,0,4,5,1
승,2018,32,Croatia,4231,2,4,5,1,Nigeria,4231,0,4,5,1
승,2018,32,Serbia,4231,1,4,5,1,Costa Rica,523,0,5,2,3
승,2018,32,Mexico,4231,1,4,5,1,Germany,4231,0,4,5,1
승,2018,32,Sweden,442,1,4,4,2,Korea,433,0,4,3,3
승,2018,32,Belgium,343,3,3,4,3,Panama,4141,0,4,5,1
승,2018,32,England,352,2,3,5,2,Tunisia,433,1,4,3,3
승,2018,32,Japan,4231,2,4,5,1,Colombia,4231,1,4,5,1
승,2018,32,Senegal,442,2,4,4,2,Poland,4231,1,4,5,1
승,2018,32,Russia,4231,3,4,5,1,Egypt,4231,1,4,5,1
승,2018,32,Portugal,442,1,4,4,2,Morocco,4231,0,4,5,1
승,2018,32,Uruguay,442,1,4,4,2,Saudi Arabia,4141,0,4,5,1
승,2018,32,Spain,4231,1,4,5,1,Iran,4231,0,4,5,1
승,2018,32,France,4231,1,4,5,1,Peru,4231,0,4,5,1
승,2018,32,Croatia,4231,3,4,5,1,Argentina,343,0,3,4,3
승,2018,32,Brazil,4231,2,4,5,1,Costa Rica,541,0,5,4,1
승,2018,32,Nigeria,352,2,3,5,2,Iceland,442,0,4,4,2
승,2018,32,Switzerland,4231,2,4,5,1,Serbia,4231,1,4,5,1
승,2018,32,Belgium,343,5,3,4,3,Tunisia,433,2,4,3,3
승,2018,32,Mexico,433,2,4,3,3,Korea,442,1,4,4,2
승,2018,32,Germany,4231,2,4,5,1,Sweden,442,1,4,4,2
승,2018,32,England,352,6,3,5,2,Panama,4141,1,4,5,1
승,2018,32,Colombia,4231,3,4,5,1,Poland,343,0,3,4,3
승,2018,32,Uruguay,352,3,3,5,2,Russia,4231,0,4,5,1
승,2018,32,Saudi Arabia,4141,2,4,5,1,Egypt,4231,1,4,5,1
승,2018,32,Peru,4231,2,4,5,1,Australia,4231,0,4,5,1
승,2018,32,Argentina,442,2,4,4,2,Nigeria,352,1,3,5,2
승,2018,32,Croatia,4231,2,4,5,1,Iceland,4231,1,4,5,1
승,2018,32,Korea,442,2,4,4,2,Germany,4231,0,4,5,1
승,2018,32,Sweden,442,3,4,4,2,Mexico,4231,0,4,5,1
승,2018,32,Brazil,4231,2,4,5,1,Serbia,4231,0,4,5,1
승,2018,32,Poland,343,1,3,4,3,Japan,4231,0,4,5,1
승,2018,32,Colombia,4231,1,4,5,1,Senegal,442,0,4,4,2
승,2018,32,Tunisia,433,2,4,3,3,Panama,4141,1,4,5,1
승,2018,32,Belgium,343,1,3,4,3,England,352,0,3,5,2
승,2018,16,France,4231,4,4,5,1,Argentina,433,3,4,3,3
승,2018,16,Uruguay,442,2,4,4,2,Portugal,442,1,4,4,2
승,2018,16,Brazil,4231,2,4,5,1,Mexico,433,0,4,3,3
승,2018,16,Belgium,343,3,3,4,3,Japan,4231,2,4,5,1
승,2018,16,Sweden,442,1,4,4,2,Switzerland,4231,0,4,5,1
승,2018,8,France,4231,2,4,5,1,Uruguay,442,0,4,4,2
승,2018,8,Belgium,343,2,3,4,3,Brazil,4231,1,4,5,1
승,2018,8,England,352,2,3,5,2,Sweden,442,0,4,4,2
승,2018,4,France,4231,1,4,5,1,Belgium,352,0,3,5,2
승,2018,4,Croatia,4231,2,4,5,1,England,352,1,3,5,2
승,2018,2,France,4231,4,4,5,1,Croatia,4231,2,4,5,1
무,2018,32,Portugal,4231,3,4,5,1,Spain,4231,3,4,5,1
무,2018,32,Argentina,4231,1,4,5,1,Iceland,4141,1,4,5,1
무,2018,32,Brazil,4231,1,4,5,1,Switzerland,4231,1,4,5,1
무,2018,32,Denmark,433,1,4,3,3,Australia,4231,1,4,5,1
무,2018,32,Japan,4231,2,4,5,1,Senegal,433,2,4,3,3
무,2018,32,Spain,4231,2,4,5,1,Morocco,4231,2,4,5,1
무,2018,32,Iran,4141,1,4,5,1,Portugal,442,1,4,4,2
무,2018,32,Denmark,433,0,4,3,3,France,4231,0,4,5,1
무,2018,32,Switzerland,4231,2,4,5,1,Costa Rica,541,2,5,4,1
무,2018,16,Spain,4231,1,4,5,1,Russia,532,1,5,3,2
무,2018,16,Croatia,4231,1,4,5,1,Denmark,433,1,4,3,3
무,2018,16,Colombia,4321,1,4,5,1,England,352,1,3,5,2
무,2018,8,Russia,4231,2,4,5,1,Croatia,4231,2,4,5,1
