season,name,nation,team,position,90s,goal,shoot,ontarget,ontarget%,shoot/90,ontarget/90,goal/shoot,goal/ontarget,fk,pass,shortpass,mediumpass,longpass,assist,keypass,throw,cross,ck,tackle,cut,block,intercept,clearing,match,time,foul,gainfoul,offside,world,rank
18,Henrikh Mkhitaryan,am ARM,Arsenal,MF,18.2,6,50,14,28,2.74,0.77,0.12,0.43,1,661,346,250,49,4,27,10,38,44,18,32,1,19,11,25,1641,27,11,3,,
17,Henrikh Mkhitaryan,am ARM,ManU,MF,10.2,1,15,5,33.3,1.46,0.49,0.07,0.2,0,439,238,147,36,5,29,0,30,26,9,18,0,7,0,15,922,9,12,2,,
17,Henrikh Mkhitaryan,am ARM,Arsenal,MF,8.8,2,21,11,52.4,2.38,1.25,0.1,0.18,1,354,204,113,26,4,15,1,27,17,7,17,2,7,3,11,794,14,17,2,,
17,Claudio Yacob,ar ARG,WBA,MF,10,0,8,1,12.5,0.8,0.1,0,0,0,307,109,153,41,0,1,0,1,0,20,20,7,20,24,16,903,25,13,0,,8
19,Emi Buendía,ar ARG,Norwich,FW,27.4,1,40,11,27.5,1.46,0.4,0.03,0.09,10,1144,600,334,179,7,79,16,43,108,58,69,5,25,29,36,2464,36,54,2,,8
17,Érik Lamela,ar ARG,Tottenham,W,9.4,2,18,5,27.8,1.92,0.53,0.11,0.4,0,367,183,144,29,2,15,0,15,17,15,8,2,7,4,25,843,24,16,3,,8
19,Érik Lamela,ar ARG,Tottenham,W,13.5,2,29,8,27.6,2.15,0.59,0.07,0.25,4,469,256,157,36,1,17,2,10,40,21,19,3,9,8,25,1215,30,26,1,,8
18,Érik Lamela,ar ARG,Tottenham,W,10.8,4,29,11,37.9,2.68,1.02,0.14,0.36,1,368,221,106,33,2,24,3,12,20,15,15,0,5,2,19,974,23,18,1,,8
19,Federico Fernández,ar ARG,NewCastle,DF,29.1,2,16,6,37.5,0.55,0.21,0.13,0.33,0,907,274,428,192,2,3,1,16,0,32,61,31,8,214,32,2620,17,20,2,,8
17,Federico Fernández,ar ARG,Swansea,DF,29.7,1,7,1,14.3,0.24,0.03,0.14,1,0,982,227,518,227,1,5,1,3,0,21,50,26,29,179,30,2676,29,21,2,,8
18,Federico Fernández,ar ARG,NewCastle,DF,16.5,0,4,1,25,0.24,0.06,0,0,0,483,101,250,130,1,4,0,5,0,16,32,10,27,104,19,1484,12,7,1,,8
19,Giovani Lo Celso,ar ARG,Tottenham,MF,16.6,0,18,3,16.7,1.09,0.18,0,0,1,832,378,320,116,2,29,2,18,40,33,30,6,14,20,28,1492,28,45,0,8,8
18,Gonzalo Higuaín,ar ARG,Chelsea,W,12.1,5,45,13,28.9,3.73,1.08,0.11,0.38,0,253,148,72,19,0,15,1,4,0,5,6,0,0,4,14,1085,6,2,11,,8
18,Juan Foyth,ar ARG,Tottenham,DF,9.9,1,5,1,20,0.51,0.1,0.2,1,0,506,193,237,72,0,3,0,6,0,21,21,6,10,47,12,888,16,9,0,8,8
17,Julián Speroni,ar ARG,CrystalPal,GK,11,0,0,0,,0,0,,,0,105,10,27,68,0,0,0,0,0,0,0,0,0,1,11,990,0,0,0,,8
17,Leonardo Ulloa,ar ARG,Brighton,FW,3,1,2,1,50,0.67,0.34,0.5,1,0,87,59,23,3,0,6,1,1,0,1,3,1,1,3,10,267,7,3,4,,8
18,Luciano Vietto,ar ARG,Fulham,FW,11,1,24,8,33.3,2.19,0.73,0.04,0.13,0,334,191,114,22,4,23,2,13,0,12,10,0,6,3,20,986,13,19,0,,8
17,Manuel Lanzini,ar ARG,Westham,MF,22.7,5,43,16,37.2,1.9,0.71,0.12,0.31,7,1057,549,382,94,6,39,4,42,52,12,19,1,24,4,27,2042,9,35,3,,8
19,Manuel Lanzini,ar ARG,Westham,MF,15.3,0,23,7,30.4,1.5,0.46,0,0,3,674,370,207,68,2,31,3,14,32,9,12,1,9,4,24,1379,6,26,4,,8
18,Manuel Lanzini,ar ARG,Westham,MF,7.6,1,11,4,36.4,1.44,0.52,0.09,0.25,3,408,239,134,16,1,6,0,7,7,9,7,1,5,3,10,686,5,7,0,,8
17,Nicolás Otamendi,ar ARG,ManCity,DF,33,4,36,10,27.8,1.09,0.3,0.11,0.4,0,2770,807,1500,439,0,10,0,3,0,29,36,9,43,83,34,2967,27,22,0,8,8
19,Nicolás Otamendi,ar ARG,ManCity,DF,19.1,2,15,7,46.7,0.79,0.37,0.13,0.29,0,1380,347,811,216,0,3,0,1,0,12,28,11,9,89,24,1715,21,1,0,,8
18,Nicolás Otamendi,ar ARG,ManCity,DF,13.7,0,14,3,21.4,1.02,0.22,0,0,0,1156,305,677,171,0,2,0,1,0,16,11,6,12,77,18,1236,8,3,0,8,8
17,Pablo Zabaleta,ar ARG,Westham,FB,36.5,0,7,1,14.3,0.19,0.03,0,0,0,1114,503,466,122,1,18,0,59,0,52,113,15,52,76,37,3289,33,34,1,,8
18,Pablo Zabaleta,ar ARG,Westham,FB,23.2,0,7,1,14.3,0.3,0.04,0,0,0,863,440,340,62,1,7,1,41,0,28,50,15,42,89,26,2092,18,29,2,,8
