season,name,nation,team,position,90s,goal,shoot,ontarget,ontarget%,shoot/90,ontarget/90,goal/shoot,goal/ontarget,fk,pass,shortpass,mediumpass,longpass,assist,keypass,throw,cross,ck,tackle,cut,block,intercept,clearing,match,time,foul,gainfoul,offside
20,김영빈_강원,KOR,강원,DF,27.18888889,1,13,6,0.461538462,0.144444444,0.066666667,0.076923077,0.166666667,33,1745,726,909,110,0,6,29,1,0,4,140,7,46,47,26,2447,33,19,1
20,손준호_전북,KOR,전북,MF,26.4,2,34,9,0.264705882,0.377777778,0.1,0.058823529,0.222222222,137,1584,751,614,219,5,30,3,24,72,33,171,7,51,39,25,2376,59,67,1
20,임채민_강원,KOR,강원,DF,27.56666667,1,13,4,0.307692308,0.144444444,0.044444444,0.076923077,0.25,68,1570,512,894,164,0,2,7,0,0,10,130,16,34,119,26,2481,24,32,0
20,한국영_강원,KOR,강원,MF,22.04444444,1,19,3,0.157894737,0.211111111,0.033333333,0.052631579,0.333333333,46,1481,697,669,115,2,16,6,1,2,9,80,7,43,9,22,1984,27,22,0
20,박용우_상주,KOR,상주,MF,23.83333333,1,26,7,0.269230769,0.288888889,0.077777778,0.038461538,0.142857143,61,1446,770,553,123,0,12,5,3,0,0,100,4,47,32,25,2145,13,25,0
20,연제운_성남,KOR,성남,DF,25.55555556,0,8,2,0.25,0.088888889,0.022222222,0,0,73,1429,513,739,177,0,2,6,2,0,8,112,16,47,80,25,2300,9,23,0
20,윤빛가람_울산,KOR,울산,MF,22.7,4,39,17,0.435897436,0.433333333,0.188888889,0.102564103,0.235294118,48,1320,737,460,123,0,27,4,34,77,10,68,5,26,13,24,2043,35,20,0
20,최영준_포항,KOR,포항,MF,24.42222222,0,8,0,0,0.088888889,0,0,0,32,1275,680,503,92,1,15,12,3,0,21,146,7,56,21,23,2198,29,34,1
20,신광훈_강원,KOR,강원,FB,22.3,0,3,0,0,0.033333333,0,0,0,49,1267,645,499,123,2,8,179,8,0,8,105,4,26,35,21,2007,31,26,1
20,한석종_수원,KOR,수원,MF,24.9,1,14,4,0.285714286,0.155555556,0.044444444,0.071428571,0.25,29,1266,631,493,142,0,12,4,1,0,13,107,5,47,7,24,2241,32,39,0
